ip,group
45.90.30.64,dns.nextdns.io
45.90.31.195,dns.nextdns.io
23.247.212.230,dns.nextdns.io
23.247.213.193,dns.nextdns.io
23.247.214.104,dns.nextdns.io
23.247.215.37,dns.nextdns.io
45.90.30.113,dns.nextdns.io
45.90.30.236,dns.nextdns.io
170.39.224.134,dns.nextdns.io
23.247.212.122,dns.nextdns.io
23.247.212.95,dns.nextdns.io
23.247.214.218,dns.nextdns.io
45.90.29.144,dns.nextdns.io
45.90.31.116,dns.nextdns.io
45.90.31.92,dns.nextdns.io
23.247.212.72,dns.nextdns.io
23.247.214.209,dns.nextdns.io
23.247.215.196,dns.nextdns.io
23.247.215.98,dns.nextdns.io
45.90.29.213,dns.nextdns.io
45.90.30.74,dns.nextdns.io
23.247.213.120,dns.nextdns.io
23.247.213.3,dns.nextdns.io
23.247.215.183,dns.nextdns.io
45.90.29.26,dns.nextdns.io
45.90.30.212,dns.nextdns.io
45.90.31.122,dns.nextdns.io
68.67.75.93,dns.nextdns.io
23.247.212.127,dns.nextdns.io
23.247.212.251,dns.nextdns.io
23.247.213.15,dns.nextdns.io
23.247.214.131,dns.nextdns.io
23.247.215.156,dns.nextdns.io
45.121.209.148,dns.nextdns.io
45.90.29.108,dns.nextdns.io
45.90.30.245,dns.nextdns.io
23.247.214.24,dns.nextdns.io
23.247.215.239,dns.nextdns.io
45.90.28.145,dns.nextdns.io
45.90.28.224,dns.nextdns.io
45.90.28.241,dns.nextdns.io
45.90.29.182,dns.nextdns.io
45.90.29.66,dns.nextdns.io
45.90.31.169,dns.nextdns.io
45.90.31.82,dns.nextdns.io
23.247.212.135,dns.nextdns.io
45.90.28.10,dns.nextdns.io
45.90.28.106,dns.nextdns.io
45.90.28.12,dns.nextdns.io
45.90.28.139,dns.nextdns.io
45.90.28.168,dns.nextdns.io
45.90.28.201,dns.nextdns.io
45.90.28.248,dns.nextdns.io
45.90.28.26,dns.nextdns.io
45.90.29.100,dns.nextdns.io
45.90.29.227,dns.nextdns.io
45.90.30.252,dns.nextdns.io
45.90.30.96,dns.nextdns.io
45.90.31.23,dns.nextdns.io
23.247.212.17,dns.nextdns.io
23.247.213.55,dns.nextdns.io
23.247.215.204,dns.nextdns.io
45.90.29.164,dns.nextdns.io
45.90.29.44,dns.nextdns.io
45.90.30.131,dns.nextdns.io
45.90.31.10,dns.nextdns.io
45.90.31.242,dns.nextdns.io
200.25.27.29,dns.nextdns.io
23.247.212.206,dns.nextdns.io
23.247.213.101,dns.nextdns.io
23.247.213.65,dns.nextdns.io
23.247.215.221,dns.nextdns.io
45.90.29.221,dns.nextdns.io
45.90.30.117,dns.nextdns.io
45.90.30.63,dns.nextdns.io
45.90.31.194,dns.nextdns.io
187.11.226.93,dns.google
23.247.212.241,dns.nextdns.io
23.247.214.11,dns.nextdns.io
45.90.29.205,dns.nextdns.io
45.90.29.96,dns.nextdns.io
23.247.212.229,dns.nextdns.io
23.247.213.93,dns.nextdns.io
23.247.215.32,dns.nextdns.io
45.90.31.127,dns.nextdns.io
104.36.148.181,dns.nextdns.io
217.146.21.59,dns.nextdns.io
23.247.212.93,dns.nextdns.io
23.247.214.212,dns.nextdns.io
23.247.215.218,dns.nextdns.io
45.90.30.152,dns.nextdns.io
45.90.31.156,dns.nextdns.io
45.90.31.53,dns.nextdns.io
23.247.212.50,dns.nextdns.io
23.247.214.176,dns.nextdns.io
23.247.215.95,dns.nextdns.io
45.90.31.172,dns.nextdns.io
23.247.214.133,dns.nextdns.io
23.247.215.161,dns.nextdns.io
45.76.144.218,dns.nextdns.io
45.90.28.205,dns.nextdns.io
45.90.28.72,dns.nextdns.io
45.90.30.209,dns.nextdns.io
45.90.31.93,dns.nextdns.io
209.250.226.191,dns.nextdns.io
23.247.212.22,dns.nextdns.io
23.247.213.83,dns.nextdns.io
23.247.215.246,dns.nextdns.io
45.90.29.115,dns.nextdns.io
45.90.31.113,dns.nextdns.io
45.90.31.248,dns.nextdns.io
200.25.42.136,dns.nextdns.io
23.247.213.178,dns.nextdns.io
23.247.214.249,dns.nextdns.io
45.90.29.77,dns.nextdns.io
45.90.30.95,dns.nextdns.io
45.90.31.216,dns.nextdns.io
23.247.213.115,dns.nextdns.io
45.90.28.158,dns.nextdns.io
45.90.28.34,dns.nextdns.io
45.90.28.44,dns.nextdns.io
45.90.29.177,dns.nextdns.io
45.90.29.63,dns.nextdns.io
23.247.212.202,dns.nextdns.io
23.247.213.59,dns.nextdns.io
23.247.214.219,dns.nextdns.io
23.247.215.151,dns.nextdns.io
23.247.215.63,dns.nextdns.io
45.90.29.162,dns.nextdns.io
45.90.30.197,dns.nextdns.io
23.247.213.162,dns.nextdns.io
45.90.28.57,dns.nextdns.io
45.90.29.49,dns.nextdns.io
23.247.212.73,dns.nextdns.io
23.247.215.134,dns.nextdns.io
35.190.81.130,35.190.81.130
23.247.214.207,dns.nextdns.io
37.120.149.148,dns.nextdns.io
45.90.29.212,dns.nextdns.io
45.90.31.158,dns.nextdns.io
23.247.213.21,dns.nextdns.io
23.247.215.15,dns.nextdns.io
45.90.29.203,dns.nextdns.io
45.90.31.254,dns.nextdns.io
199.43.206.44,dns.nextdns.io
23.247.212.231,dns.nextdns.io
23.247.214.109,dns.nextdns.io
45.90.31.201,dns.nextdns.io
173.232.2.74,dns.nextdns.io
23.247.215.117,dns.nextdns.io
45.90.29.179,dns.nextdns.io
200.25.18.75,dns.nextdns.io
23.247.214.22,dns.nextdns.io
23.247.215.211,dns.nextdns.io
45.90.30.168,dns.nextdns.io
45.90.31.160,dns.nextdns.io
23.247.212.211,dns.nextdns.io
23.247.213.70,dns.nextdns.io
45.90.28.176,dns.nextdns.io
45.90.28.30,dns.nextdns.io
23.247.212.209,dns.nextdns.io
23.247.213.155,dns.nextdns.io
23.247.213.68,dns.nextdns.io
23.247.214.88,dns.nextdns.io
45.90.30.17,dns.nextdns.io
23.247.212.86,dns.nextdns.io
23.247.213.206,dns.nextdns.io
23.247.214.213,dns.nextdns.io
23.247.215.150,dns.nextdns.io
185.243.214.88,dns.nextdns.io
23.247.214.225,dns.nextdns.io
45.150.243.134,dns.nextdns.io
45.90.30.211,dns.nextdns.io
103.137.62.19,.qvq.network
23.247.213.40,dns.nextdns.io
23.247.215.48,dns.nextdns.io
45.90.31.20,dns.nextdns.io
23.247.212.59,dns.nextdns.io
23.247.214.198,dns.nextdns.io
